sim_id,students,coffee_machines,avg_wait_time,missed_coffee,no_attempts,total_attempts,avg_idle_time
535,60,1,11.727272727272727,38,49,11,66.0
536,60,1,8.5,40,52,8,66.0
537,60,1,15.5,41,54,6,65.0
538,60,1,14.222222222222221,39,51,9,67.0
539,60,1,14.875,38,52,9,71.0
540,60,1,12.454545454545455,37,49,11,71.0
541,60,1,11.6,40,50,10,69.0
542,60,1,15.333333333333334,40,51,10,67.0
543,60,1,14.555555555555555,39,51,9,65.0
544,60,1,11.416666666666666,40,48,12,65.0
545,60,1,16.428571428571427,40,53,7,65.0
546,60,1,9.636363636363637,39,49,11,70.0
547,60,1,10.0,39,49,11,72.0
548,60,1,14.166666666666666,39,54,6,64.0
549,60,1,11.285714285714286,41,53,8,64.0
550,60,1,14.0,38,52,9,73.0
551,60,1,11.555555555555555,39,51,9,63.0
552,60,1,7.875,41,52,8,74.0
553,60,1,10.428571428571429,40,53,8,69.0
554,60,1,13.375,39,52,9,72.0
555,60,1,9.875,42,52,8,74.0
556,60,1,13.555555555555555,40,51,11,68.0
557,60,1,10.416666666666666,37,48,13,68.0
558,60,1,14.125,40,52,8,68.0
559,60,1,16.625,38,52,10,65.0
560,60,1,10.416666666666666,38,48,13,69.0
561,60,1,11.0,41,53,7,74.0
562,60,1,15.142857142857142,39,53,8,67.0
563,60,1,17.25,38,52,10,67.0
564,60,1,12.363636363636363,38,49,12,72.0
565,60,1,13.555555555555555,40,51,10,72.0
566,60,1,11.363636363636363,38,49,11,73.0
567,60,1,9.9,40,50,10,74.0
568,60,1,10.714285714285714,40,53,7,67.0
569,60,1,13.0,39,53,8,66.0
570,60,1,12.714285714285714,41,53,7,62.0
571,60,1,15.125,38,52,8,65.0
572,60,1,12.555555555555555,39,51,9,66.0
573,60,1,26.6,39,55,6,68.0
574,60,1,14.333333333333334,40,51,10,71.0
575,60,1,11.875,41,52,9,68.0
576,60,1,10.714285714285714,40,53,7,68.0
577,60,1,10.5,40,52,8,72.0
578,60,1,12.4,40,50,10,66.0
579,60,1,16.333333333333332,38,51,10,74.0
580,60,1,11.777777777777779,40,51,9,69.0
581,60,1,14.555555555555555,39,51,9,67.0
582,60,1,15.5,39,52,8,70.0
583,60,1,11.272727272727273,40,49,12,71.0
584,60,1,12.1,38,50,11,74.0
